checkup_bin,condition_count,hgb_k2_mae,hgb_minus_prior_slope_mae,hgb_wins_fraction,horizon_checkups,n_rows,prior_delta_abs_bin,prior_slope_mae,soh_bin,split_name,target
checkup_8_12,17,0.005556150936276091,0.004341963702233521,0.18723404255319148,1,235,prior_abs_0_005_0_02,0.0012141872340425692,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_8_12,2,0.0064456343679803576,0.0040184343679801945,0.2,1,5,prior_abs_0_02_0_05,0.0024272000000001626,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_8_12,9,0.15299805081972456,0.004001208714461385,0.5263157894736842,1,19,prior_abs_ge_0_05,0.14899684210526318,soh_lt_0_70,condition_fold,capacity_Ah_kh
checkup_0_3,3,0.29555773802429514,0.043557880881437916,0.2857142857142857,2,7,prior_abs_ge_0_05,0.2519998571428572,soh_0_70_0_80,condition_fold,capacity_Ah_kh
checkup_0_3,23,0.19791963677571878,0.0008092341783161594,0.5584415584415584,2,77,prior_abs_ge_0_05,0.19711040259740262,soh_0_80_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,9,0.01315821526148239,0.007277779777611498,0.1774193548387097,2,62,prior_abs_0_005_0_02,0.005880435483870893,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,18,0.00880619834072091,-0.00599185267968721,0.6530612244897959,2,98,prior_abs_0_02_0_05,0.01479805102040812,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,52,0.0723914866528442,-0.010813906933161671,0.6618075801749271,2,343,prior_abs_ge_0_05,0.08320539358600587,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_0_3,76,0.0840380349063041,-0.17327055205021766,0.9,2,230,prior_abs_lt_0_005,0.25730858695652176,soh_ge_0_90,condition_fold,capacity_Ah_kh
checkup_13_plus,17,0.04424031299333841,0.02047543516528411,0.19457013574660634,2,221,prior_abs_0_005_0_02,0.0237648778280543,soh_0_70_0_80,condition_fold,capacity_Ah_kh
