diagnostic_family,gain_10pct_rows,horizon_checkups,max_relative_gain,mean_gain,mean_relative_gain,min_gain,min_relative_gain,nonnegative_gain_rows,positive_gain_rows,reference_name,rows,split_name,target_name
eis,1,2,0.12673147717150435,0.044663551167917814,0.12673147717150435,0.044663551167917814,0.12673147717150435,1,1,persistence,1,profile_holdout_fold,eis_phase_1kHz
eis,1,2,0.11459768068707338,0.039833799460465336,0.11459768068707338,0.039833799460465336,0.11459768068707338,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_phase_1kHz
eis,1,2,0.2746618853174159,0.1241010875193222,0.2746618853174159,0.1241010875193222,0.2746618853174159,1,1,capacity_state,1,temperature_holdout_fold,eis_phase_1kHz
eis,0,2,0.062432910407113774,0.02182372678515987,0.062432910407113774,0.02182372678515987,0.062432910407113774,1,1,persistence,1,temperature_holdout_fold,eis_phase_1kHz
eis,0,2,0.01119743513680104,0.0037113051202598557,0.01119743513680104,0.0037113051202598557,0.01119743513680104,1,1,prior_same_diagnostic,1,temperature_holdout_fold,eis_phase_1kHz
eis,1,2,0.24671882493301678,0.10929374012714377,0.24671882493301678,0.10929374012714377,0.24671882493301678,1,1,capacity_state,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,0,2,0.018866889244278942,0.006416858789061786,0.018866889244278942,0.006416858789061786,0.018866889244278942,1,1,persistence,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,1,2,0.11926921080239516,0.045189265362666375,0.11926921080239516,0.045189265362666375,0.11926921080239516,1,1,prior_same_diagnostic,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,1,3,0.2413095031779061,0.10570736406780507,0.2413095031779061,0.10570736406780507,0.2413095031779061,1,1,capacity_state,1,all,eis_phase_1kHz
eis,1,3,0.10042786814361278,0.03710340039183868,0.10042786814361278,0.03710340039183868,0.10042786814361278,1,1,persistence,1,all,eis_phase_1kHz
eis,0,3,0.06173430805087122,0.02186735272755147,0.06173430805087122,0.02186735272755147,0.06173430805087122,1,1,prior_same_diagnostic,1,all,eis_phase_1kHz
eis,1,3,0.10384289280100636,0.04609473844677203,0.10384289280100636,0.04609473844677203,0.10384289280100636,1,1,capacity_state,1,c_rate_holdout_fold,eis_phase_1kHz
eis,1,3,0.18439541588788613,0.08993509393282062,0.18439541588788613,0.08993509393282062,0.18439541588788613,1,1,persistence,1,c_rate_holdout_fold,eis_phase_1kHz
eis,0,3,-0.0001535431689972253,-6.106924522797375e-05,-0.0001535431689972253,-6.106924522797375e-05,-0.0001535431689972253,0,0,prior_same_diagnostic,1,c_rate_holdout_fold,eis_phase_1kHz
eis,1,3,0.25312021350537256,0.10593620072474996,0.25312021350537256,0.10593620072474996,0.25312021350537256,1,1,capacity_state,1,condition_fold,eis_phase_1kHz
eis,1,3,0.11912082316502864,0.04227071688453382,0.11912082316502864,0.04227071688453382,0.11912082316502864,1,1,persistence,1,condition_fold,eis_phase_1kHz
eis,0,3,0.042436096507179555,0.013852747974778978,0.042436096507179555,0.013852747974778978,0.042436096507179555,1,1,prior_same_diagnostic,1,condition_fold,eis_phase_1kHz
eis,1,3,0.21187987739911454,0.0855666315911146,0.21187987739911454,0.0855666315911146,0.21187987739911454,1,1,capacity_state,1,profile_holdout_fold,eis_phase_1kHz
eis,1,3,0.1585541799796985,0.0599734009969643,0.1585541799796985,0.0599734009969643,0.1585541799796985,1,1,persistence,1,profile_holdout_fold,eis_phase_1kHz
eis,1,3,0.13849276349341724,0.05116527240773372,0.13849276349341724,0.05116527240773372,0.13849276349341724,1,1,prior_same_diagnostic,1,profile_holdout_fold,eis_phase_1kHz
eis,1,3,0.2760013817725993,0.12592311442870924,0.2760013817725993,0.12592311442870924,0.2760013817725993,1,1,capacity_state,1,temperature_holdout_fold,eis_phase_1kHz
eis,0,3,0.07950117120039978,0.028528715881423528,0.07950117120039978,0.028528715881423528,0.07950117120039978,1,1,persistence,1,temperature_holdout_fold,eis_phase_1kHz
eis,0,3,0.060023480989799795,0.021092891116531565,0.060023480989799795,0.021092891116531565,0.060023480989799795,1,1,prior_same_diagnostic,1,temperature_holdout_fold,eis_phase_1kHz
eis,1,3,0.25308705198602993,0.11843325543153532,0.25308705198602993,0.11843325543153532,0.25308705198602993,1,1,capacity_state,1,voltage_window_holdout_fold,eis_phase_1kHz
eis,0,3,0.025031761330973817,0.008973764528921013,0.025031761330973817,0.008973764528921013,0.025031761330973817,1,1,persistence,1,voltage_window_holdout_fold,eis_phase_1kHz
