split_name,target,horizon_checkups,contrast_family,effect_bin,matched_rows,matched_contrasts,hgb_sign_accuracy,prior_slope_sign_accuracy,sign_accuracy_gain_vs_prior,hgb_mean_effect_abs_error,prior_slope_mean_effect_abs_error,mean_abs_error_gain_vs_prior,hgb_sign_correct_rows,prior_slope_sign_correct_rows,claim_scope
temperature_holdout_fold,delta_capacity_Ah_h,2,profile,medium_0.02_to_0.05Ah,22,4,0.8636363636363636,0.9047619047619048,-0.04112554112554112,0.0731677050254433,0.01721806060606065,-0.055949644419382646,19,19,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,profile,small_0.01_to_0.02Ah,14,4,0.8571428571428571,0.6666666666666666,0.19047619047619047,0.022564977761088945,0.014264619047618993,-0.008300358713469952,12,8,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,profile,tiny_lt_0.01Ah,19,4,0.6842105263157895,0.7368421052631579,-0.05263157894736836,0.02959943839482962,0.015992280701754274,-0.013607157693075345,13,14,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,temperature,large_ge_0.05Ah,67,16,0.9402985074626866,0.9655172413793104,-0.02521873391662377,0.18147597009241756,0.19001764179104474,0.008541671698627185,63,56,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,temperature,medium_0.02_to_0.05Ah,51,8,0.9215686274509803,0.9361702127659575,-0.014601585314977128,0.019569839167894624,0.014427745098039147,-0.005142094069855477,47,44,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,temperature,small_0.01_to_0.02Ah,34,7,0.8529411764705882,0.9090909090909091,-0.05614973262032086,0.012099571208128835,0.012745480392156845,0.0006459091840280099,29,30,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,temperature,tiny_lt_0.01Ah,71,9,0.7887323943661971,0.8955223880597015,-0.10678999369350439,0.006479041708233878,0.005049424882629067,-0.001429616825604811,56,60,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,voltage_window,large_ge_0.05Ah,108,26,0.9259259259259259,0.9431818181818182,-0.017255892255892302,0.14897020442703252,0.16702802469135805,0.018057820264325536,100,83,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,voltage_window,medium_0.02_to_0.05Ah,79,21,0.8987341772151899,0.9710144927536232,-0.07228031553843328,0.03326931582320581,0.021986073839662484,-0.011283241983543326,71,67,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,voltage_window,small_0.01_to_0.02Ah,66,18,0.8787878787878788,0.9375,-0.058712121212121215,0.02543501360250722,0.012942580808080742,-0.012492432794426479,58,60,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,2,voltage_window,tiny_lt_0.01Ah,217,14,0.743455497382199,0.8,-0.056544502617801085,0.007670098422514436,0.004681312596006114,-0.0029887858265083217,142,172,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,3,all,large_ge_0.05Ah,290,54,0.9275862068965517,0.9375,-0.00991379310344831,0.16223470226069503,0.165964175862069,0.0037294736013739616,269,240,prospective_supported_contrast_diagnostic
temperature_holdout_fold,delta_capacity_Ah_h,3,all,medium_0.02_to_0.05Ah,170,35,0.8571428571428571,0.94,-0.08285714285714285,0.04884003751493829,0.02850991666666662,-0.02033012084827167,144,141,prospective_supported_contrast_diagnostic
